order_id,order_date,customer_id,customer_segment,customer_city,customer_country,warehouse_id,warehouse_city,product_category,product_weight_kg,order_value_usd,shipping_method,carrier,distance_km,promised_delivery_days,actual_delivery_days,delivery_status,late_delivery,delivery_delay_days,shipping_cost_usd,package_size,payment_method,order_priority,weather_condition,customer_rating,return_requested,return_reason,delivery_attempts,warehouse_processing_hours,tracking_status,order_day,order_month,shipping_cost_per_kg,delivery_variance_days,delivery_performance
ORD-000001,2026-11-15,CUS-002353,Small Business,Tokyo,Japan,WH-004,Toronto,Home & Kitchen,8.23,10.39,International,EagleCourier,1579.5,11,16,Delivered,Yes,5,133.1,Large,Digital Wallet,Normal,Snow,3,Yes,Late Delivery,2,25.1,Delivered,Sunday,11,16.17253948967193,5,Delayed
ORD-000002,2026-04-08,CUS-003258,Consumer,Vancouver,Canada,WH-007,Paris,Beauty,0.1,117.69,Standard,BlueRoute,1049.0,5,5,Delivered,No,0,26.95,Small,Debit Card,Normal,Cloudy,5,No,Not returned,1,25.9,Delivered,Wednesday,4,269.5,0,On-time
ORD-000003,2026-01-05,CUS-001221,Consumer,Houston,United States,WH-005,London,Home & Kitchen,5.51,335.23,International,SpeedyCargo,4552.6,12,16,Delivered,Yes,4,338.62,Large,Debit Card,Low,Snow,4,Yes,Product Defect,1,31.5,Delivered,Monday,1,61.45553539019964,4,Delayed
ORD-000004,2026-05-29,CUS-001717,Small Business,Delhi,India,WH-002,Los Angeles,Grocery,3.75,10.57,Standard,ParcelPro,7074.9,8,11,In Transit,Yes,3,270.45,Large,Debit Card,Normal,Snow,3,No,Not returned,1,12.6,In Transit,Friday,5,72.11999999999999,3,Delayed
ORD-000005,2026-02-22,CUS-000716,Small Business,Nagoya,Japan,WH-006,Berlin,Beauty,0.1,31.37,Economy,GlobalExpress,522.0,8,12,Delivered,Yes,4,12.9,Small,Credit Card,Normal,Storm,2,No,Not returned,1,24.9,Delivered,Sunday,2,129.0,4,Delayed
ORD-000006,2026-03-06,CUS-005749,Consumer,Brisbane,Australia,WH-002,Los Angeles,Toys,0.76,76.07,International,SwiftShip,3398.8,12,14,Delivered,Yes,2,189.13,Medium,Debit Card,Low,Extreme Heat,3,No,Not returned,1,32.2,Delivered,Friday,3,248.85526315789474,2,Delayed
ORD-000007,2026-07-10,CUS-002409,Small Business,Ottawa,Canada,WH-003,Chicago,Grocery,4.81,103.78,Standard,SwiftShip,489.6,4,5,Delivered,Yes,1,22.82,Large,Bank Transfer,Normal,Rain,3,No,Not returned,1,21.0,Delivered,Friday,7,4.744282744282745,1,Delayed
ORD-000008,2026-12-03,CUS-003537,Consumer,Los Angeles,United States,WH-004,Toronto,Electronics,3.51,541.76,Standard,PrimeDelivery,4320.7,7,12,Delivered,Yes,5,177.55,Large,Cash on Delivery,Normal,Snow,2,No,Not returned,1,21.2,Delivered,Thursday,12,50.58404558404559,5,Delayed
ORD-000009,2026-12-18,CUS-004446,Consumer,Phoenix,United States,WH-002,Los Angeles,Grocery,2.09,52.74,International,GlobalExpress,2598.2,11,11,Delivered,No,0,204.24,Large,Credit Card,High,Clear,4,No,Not returned,1,12.7,Delivered,Friday,12,97.72248803827752,0,On-time
ORD-000010,2026-11-05,CUS-005134,Enterprise,Dusseldorf,Germany,WH-002,Los Angeles,Home & Kitchen,0.1,578.25,Economy,SwiftShip,281.6,8,9,Delivered,Yes,1,7.01,Small,Debit Card,Normal,Rain,2,No,Not returned,1,15.1,Delivered,Thursday,11,70.1,1,Delayed
